CS,Computer Science A,3-5,CS,1114,Introduction To Software Design,,,
ECON,Microeconomics,4-5,ECON,2005,Principle of Economics,,,
ECON,Macroeconomics,4-5,ECON,2006,Principle of Economics,,,
ENGL,English - Language/Composition or Literature/Composition,3,ENGL,1105,First Year Writing,,,
ENGL,English - Language/Composition or Literature/Composition,4-5,ENGL,1105,First Year Writing,ENGL,1106,First Year Writing
HIST,U.S. History,3,HIST,1115,History of the US,,,
HIST,U.S. History,4-5,HIST,1115,History of the US,HIST,1116,History of the US
MATH,Calculus AB,3,MATH,1025,Elem Calculus,MATH,1026,Elem Calculus
MATH,Calculus AB,4-5,MATH,1225,Calculus 1 Variable,MATH,1026,Elem Calculus
MATH,Calculus BC,3,MATH,1225,Calculus 1 Variable,MATH,1026,Elem Calculus
MATH,Calculus BC,4-5,MATH,1225,Calculus 1 Variable,MATH,1226,Calculus 1 Variable
PHYS,Physics 1: Algebra-Based,3-5,PHYS,2205,General Physics,PHYS,2215,General Physics-Lab
PHYS,Physics 2: Algebra-Based,3-5,PHYS,2206,General Physics,PHYS,2216,General Physics-Lab
PHYS,Physics C - Mechanics,3,PHYS,2205,General Physics,PHYS,2215,General Physics-Lab
PHYS,Physics C - Mechanics,4-5,PHYS,2305,Foundations of Physics,,,
PSCI,U.S. Government & Politics,3-5,PSCI,1014,Intro American Government and Politics,,,
PSCI,Comparative Government & Politics,3-5,PSCI,1024,Comparative Government,,,
